Nbr,Paper,St type,Start,End type,End,L15 st,L15 end,D_G,D_N,D_H3,D_H4,D_Other,GHG/T,M/O,Title,Abstract,Authors,Year,Journal,Volume,Issue,Pages (or article number),Sub.date,Pub.date,DOI,Link,Detection,Attribution,Impacts,Future,Language
42,Ridley et al. 2014,7,2001,13,2014,post 2000,,,,,,NA,,,Total volcanic stratospheric aerosol optical depths and implications for global climate change,"Understanding the cooling effect of recent volcanoes is of particular interest in the context of the post-2000 slowing of the rate of global warming. Satellite observations of aerosol optical depth above 15?km have demonstrated that small-magnitude volcanic eruptions substantially perturb incoming solar radiation. Here we use lidar, Aerosol Robotic Network, and balloon-borne observations to provide evidence that currently available satellite databases neglect substantial amounts of volcanic aerosol between the tropopause and 15?km at middle to high latitudes and therefore underestimate total radiative forcing resulting from the recent eruptions. Incorporating these estimates into a simple climate model, we determine the global volcanic aerosol forcing since 2000 to be ?0.19?Ò?0.09?Wm?2. This translates into an estimated global cooling of 0.05 to 0.12¯C. We conclude that recent volcanic events are responsible for more post-2000 cooling than is implied by satellite databases that neglect volcanic aerosol effects below 15?km.","D. A. Ridley, S. Solomon, J. E. Barnes, V. D. Burlakov, T. Deshler, S. I. Dolgii, A. B. Herber, T. Nagai, R. R. Neely III, A. V. Nevzorov, C. Ritter, T. Sakai, B. D. Santer, M. Sato, A. Schmidt, O. Uchino, J. P. Vernier",2014,GRL,41,22,7763?7769,14-08-14,25-11-14,10.1002/2014GL061541,http://onlinelibrary.wiley.com/doi/10.1002/2014GL061541/full,,1,,,En
45,McGregor et al. 2014,8,NA,"11, 13",2014,unspecified,unspecified,,,,,ERSST,,,Recent Walker circulation strengthening and Pacific cooling amplified by Atlantic warming,"An unprecedented strengthening of Pacific trade winds since the late 1990s (ref. 1) has caused widespread climate perturbations, including rapid sea-level rise in the western tropical Pacific, strengthening of Indo-Pacific ocean currents, and an increased uptake of heat in the equatorial Pacific thermocline. The corresponding intensification of the atmospheric Walker circulation is also associated with sea surface cooling in the eastern Pacific, which has been identified as one of the contributors to the current pause in global surface warming. In spite of recent progress in determining the climatic impacts of the Pacific trade wind acceleration, the cause of this pronounced trend in atmospheric circulation remains unknown. Here we analyse a series of climate model experiments along with observational data to show that the recent warming trend in Atlantic sea surface temperature and the corresponding trans-basin displacements of the main atmospheric pressure centres were key drivers of the observed Walker circulation intensification, eastern Pacific cooling, North American rainfall trends and western Pacific sea-level rise. Our study suggests that global surface warming has been partly offset by the Pacific climate response to enhanced Atlantic warming since the early 1990s.","Shayne McGregor, Axel Timmermann, Malte F. Stuecker, Matthew H. England, Mark Merrifield, Fei-Fei Jin, Yoshimitsu Chikamoto",2014,NCC,4,,888-892,17-02-14,03-08-14,10.1038/nclimate2330,http://www.nature.com/nclimate/journal/v4/n10/full/nclimate2330.html,,1,,,En
46,Furuoka_2016,1,1997,12,2014,,,1,1,,1,,,,An econometric analysis of global warming hiatus,"There is an avid debate concerning the presence of a hiatus in global warming. Recognizing that this phenomenon has considerable economic implications, this study aims to make a threefold contribution to the climate econometrics literature. Firstly, it formulates a testable hypothesis; secondly, it proposes a systematic empirical procedure; thirdly, it performs the Bai?Perron test to detect the starting point of the global warming hiatus. The findings supported the existence of the global warming hiatus.",Fumitaka Furuoka,2016,Applied Economics Letters,,,,,22-12-16,10.1080/13504851.2016.1270400,http://www.tandfonline.com/doi/abs/10.1080/13504851.2016.1270400,1,,,,En
47,Cahill et al. 2015,1,not found,1,not found,,,1,1,,1,Cowtan and Way,,,Change points of global temperature,"We aim to address the question of whether or not there is a significant recent 'hiatus', 'pause' or 'slowdown' of global temperature rise. Using a statistical technique known as change point (CP) analysis we identify the changes in four global temperature records and estimate the rates of temperature rise before and after these changes occur. For each record the results indicate that three CPs are enough to accurately capture the variability in the data with no evidence of any detectable change in the global warming trend since ~1970. We conclude that the term 'hiatus' or 'pause' cannot be statistically justified.","Niamh Cahill, Stefan Rahmstorf, Andrew C Parnell",2015,ERL,10,8,084002,03-04-15,03-08-15,10.1088/1748-9326/10/8/084002,http://iopscience.iop.org/1748-9326/10/8/084002/,1,,,,En
50,Cazenave et al. 2014,2,not found,2,not found,,,,,,,,,,The rate of sea-level rise,"Present-day sea-level rise is a major indicator of climate change. Since the early 1990s, sea level rose at a mean rate of  ~3.1 mm yr?1 (refs 2, 3). However, over the last decade a slowdown of this rate, of about 30%, has been recorded. It coincides with a plateau in Earth?s mean surface temperature evolution, known as the recent pause in warming. Here we present an analysis based on sea-level data from the altimetry record of the past  ~20 years that separates interannual natural variability in sea level from the longer-term change probably related to anthropogenic global warming. The most prominent signature in the global mean sea level interannual variability is caused by El Ni§o?Southern Oscillation, through its impact on the global water cycle. We find that when correcting for interannual variability, the past decade?s slowdown of the global mean sea level disappears, leading to a similar rate of sea-level rise (of 3.3 Ò 0.4 mm yr?1) during the first and second decade of the altimetry era. Our results confirm the need for quantifying and further removing from the climate records the short-term natural climate variability if one wants to extract the global warming signal.","Anny Cazenave, Habib-Boubacar Dieng, Benoit Meyssignac, Karina von Schuckmann, Bertrand Decharme, Etienne Berthier",2014,NCC,4,,358-361,16-10-13,23-03-14,10.1038/nclimate2159,http://www.nature.com/nclimate/journal/v4/n5/full/nclimate2159.html,,,1,,En
51,"Lian, 2016",2,1999,13,2015,,,,,,,HadISST,,,Uncertainty in detecting trend: a new criterion and its applications to global SST,"In most parts of the global ocean, the magnitude of the long-term linear trend in sea surface temperature (SST) is much smaller than the amplitude of multi-scale internal variation. One can thus use a specific period in a much longer record to arbitrarily determine the sign of long-term trend, which is statistically significant, in regional SST. This could lead to a controversial conclusion on how global SST responded to the anthropogenic forcing in the recent history. In this study, the uncertainty in the linear trend due to multi-scale internal variation is theoretically investigated. It is found that the ?estimated? trend will not change its sign only when its magnitude is greater than a theoretical threshold that scales the influence from the multi-scale internal variation. Otherwise, the sign of the ?estimated? trend may depend on the period used. The new criterion is found to be superior over the existing methods when the de-trended time series is dominated by the oscillatory term. Applying this new criterion to a global SST reconstruction from 1881 to 2013 reveals that the influences from multi-scale internal variation on the sign of ?estimated? linear trend cannot be excluded in most parts of the Pacific, the southern Indian Ocean and the northern Atlantic; therefore, the warming or/and cooling trends found in these regions cannot be interpreted as the consequences of anthropogenic forcing. It?s also suggested that the recent hiatus can be explained by combined uncertainty from internal variations at the interannual and decadal time scales.",Tao Lian,2016,Climate Dynamics,,,,01-10-15,28-12-16,10.1007/s00382-016-3483-y,http://rd.springer.com/article/10.1007/s00382-016-3483-y,,1,,,En
53,"Swanson & Tsonis, 2009",2,2002,"11, 13",2008,,,,,1,,,,,Has the climate recently shifted?,"This paper provides an update to an earlier work that showed specific changes in the aggregate time evolution of major Northern Hemispheric atmospheric and oceanic modes of variability serve as a harbinger of climate shifts. Specifically, when the major modes of Northern Hemisphere climate variability are synchronized, or resonate, and the coupling between those modes simultaneously increases, the climate system appears to be thrown into a new state, marked by a break in the global mean temperature trend and in the character of El Ni§o/Southern Oscillation variability. Here, a new and improved means to quantify the coupling between climate modes confirms that another synchronization of these modes, followed by an increase in coupling occurred in 2001/02. This suggests that a break in the global mean temperature trend from the consistent warming over the 1976/77?2001/02 period may have occurred.","Kyle L. Swanson, Anastasios A. Tsonis",2009,GRL,36,6,L06711,16-12-08,31-03-09,10.1029/2008GL037022,http://onlinelibrary.wiley.com/doi/10.1029/2008GL037022/full,1,1,,,En
54,Shi et al. 2016,2,1998,2,2012,,,1,1,,1,local,,,Multi-sliding time windows based changing trend of mean temperature and its association with the global-warming hiatus,"Based on three global annual mean surface temperature time series and three Chinese annual mean surface air temperature time series, climate change trends on multiple timescales are analyzed by using the trend estimation method of multi-sliding time windows. The results are used to discuss the so-called global-warming hiatus during 1998?2012. It is demonstrated that different beginning and end times have an obvious effect on the results of the trend estimation, and the implications are particularly large when using a short window. The global-warming hiatus during 1998?2012 is the result of viewing temperature series on short timescales; and the events similar to it, or the events with even cold tendencies, have actually occurred many times in history. Therefore, the global-warming hiatus is likely to be a periodical feature of the long-term temperature change. It mainly reflects the decadal variability of temperature, and such a phenomenon in the short term does not alter the overall warming trend in the long term.","Yan Shi, Panmao Zhai, Zhihong Jiang",2016,Journal of Meteorological Research,30,2,232-241,15-05-15,18-05-16,10.1007/s13351-016-5093-3,http://rd.springer.com/article/10.1007/s13351-016-5093-3,1,1,,,En
55,Karl et al. 2015,2,not found,2,not found,,,,1,,,"ERSST, ISTI",,,Possible artifacts of data biases in the recent global surface warming hiatus,"Much study has been devoted to the possible causes of an apparent decrease in the upward trend of global surface temperatures since 1998, a phenomenon that has been dubbed the global warming ?hiatus.? Here, we present an updated global surface temperature analysis that reveals that global trends are higher than those reported by the Intergovernmental Panel on Climate Change, especially in recent decades, and that the central estimate for the rate of warming during the first 15 years of the 21st century is at least as great as the last half of the 20th century. These results do not support the notion of a ?slowdown? in the increase of global surface temperature.","Thomas R. Karl, Anthony Arguez, Boyin Huang, Jay H. Lawrimore, James R. McMahon, Matthew J. Menne, Thomas C. Peterson, Russell S. Vose, Huai-Min Zhang",2015,Science,348,6242,1469-1472,23-12-14,04-06-15,10.1126/science.aaa5632,http://www.sciencemag.org/content/348/6242/1469.short,1,,,,En
56,"Tanaka & Tamura, 2016",2,2001,12,2011,,,,,,,"JRA-55, ERA-Interim",,,Relationship between the Arctic oscillation and surface air temperature in multi-decadal time-scale,"In this study, a simple energy balance model (EBM) was integrated in time, considering a hypothetical long-term variability in ice-albedo feedback mimicking the observed multi-decadal temperature variability. A natural variability was superimposed on a linear warming trend due to the increasing radiative forcing of CO2. The result demonstrates that the superposition of the natural variability and the background linear trend can offset with each other to show the warming hiatus for some period. It is also stressed that the rapid warming during 1970?2000 can be explained by the superposition of the natural variability and the background linear trend at least within the simple model. The key process of the fluctuating planetary albedo in multi-decadal time scale is investigated using the JRA-55 reanalysis data. It is found that the planetary albedo increased for 1958?1970, decreased for 1970?2000, and increased for 2000?2012, as expected by the simple EBM experiments. The multi-decadal variability in the planetary albedo is compared with the time series of the AO mode and Barents Sea mode of surface air temperature. It is shown that the recent AO negative pattern showing warm Arctic and cold mid-latitudes is in good agreement with planetary albedo change indicating negative anomaly in high latitudes and positive anomaly in mid-latitudes. Moreover, the Barents Sea mode with the warm Barents Sea and cold mid-latitudes shows long-term variability similar to planetary albedo change. Although further studies are needed, the natural variabilities of both the AO mode and Barents Sea mode indicate some possible link to the planetary albedo as suggested by the simple EBM to cause the warming hiatus in recent years.","Hiroshi L. Tanaka, Mina Tamura",2016,Polar Science,10,3,199-209,02-11-15,16-03-16,10.1016/j.polar.2016.03.002,http://www.sciencedirect.com/science/article/pii/S1873965216300093,,1,,,En
57,Wei et al. 2015,2,2012,"11, 13",2014,,,,,,1,,,,A Quantitative Definition of Global Warming Hiatus and 50-Year Prediction of Global Mean Surface Temperature,"Recent global warming hiatus has received much attention; however, a robust and quantitative definition for the hiatus is still lacking. Recent studies (Scafetta, 2010; Wu et al., 2011; Tung and Zhou, 2013) showed that multi-decadal variability (MDV), is responsible for the multi-decadal accelerated warming and hiatuses in historical global mean surface temperature (GMST) records, though MDV itself has not received sufficient attention thus far. Here, we introduce four key episodes in GMST evolution, according to different phases of the MDV extracted by the ensemble empirical mode decomposition method from the ensemble HadCRUT4 monthly GMST time series. The ?warming/cooling hiatus? and ?typical warming/cooling? periods are defined as the 95% confidence intervals for the locations of local MDV maxima/minima and of their derivatives, respectively. Since 1850, the warming hiatuses, cooling hiatuses and typical warming have already occurred three times, and the typical cooling, twice. At present, the MDV is in its third warming hiatus period, which started in 2012 and would last until 2017, followed by a 30-year cooling episode, while the trend will sustain the current steady growth in the next 50 years. Their superposition presents ladder-like rising since 1850. It is currently ascending a new height and will stay there until the next warming phase of the MDV carries it higher.","Meng Wei, Fangli Qiao, Jia Deng",2015,Journal of the Atmospheric Sciences,72,8,3281-3289,13-10-14,03-08-15,10.1175/JAS-D-14-0296.1,http://journals.ametsoc.org/doi/abs/10.1175/JAS-D-14-0296.1,1,,,1,En
60,Rajaratnam et al. 2015,2,not found,2,not found,,,1,1,,1,ERSSTv4,,,Debunking the climate hiatus,"The reported ?hiatus? in the warming of the global climate system during this century has been the subject of intense scientific and public debate, with implications ranging from scientific understanding of the global climate sensitivity to the rate in which greenhouse gas emissions would need to be curbed in order to meet the United Nations global warming target. A number of scientific hypotheses have been put forward to explain the hiatus, including both physical climate processes and data artifacts. However, despite the intense focus on the hiatus in both the scientific and public arenas, rigorous statistical assessment of the uniqueness of the recent temperature time-series within the context of the long-term record has been limited. We apply a rigorous, comprehensive statistical analysis of global temperature data that goes beyond simple linear models to account for temporal dependence and selection effects. We use this framework to test whether the recent period has demonstrated i) a hiatus in the trend in global temperatures, ii) a temperature trend that is statistically distinct from trends prior to the hiatus period, iii) a ?stalling? of the global mean temperature, and iv) a change in the distribution of the year-to-year temperature increases. We find compelling evidence that recent claims of a ?hiatus? in global warming lack sound scientific basis. Our analysis reveals that there is no hiatus in the increase in the global mean temperature, no statistically significant difference in trends, no stalling of the global mean temperature, and no change in year-to-year temperature increases.","Bala Rajaratnam, Joseph Romano, Michael Tsiang, Noah S. Diffenbaugh",2015,Climatic Change,133,2,129-140,12-05-15,17-09-15,10.1007/s10584-015-1495-y,http://rd.springer.com/article/10.1007%2Fs10584-015-1495-y,1,,,,En
62,Amaya et al. 2015,3,2000,"11, 13",2015,,,1,,,,,,,Seasonality of tropical Pacific decadal trends associated with the 21st century global warming hiatus,"Equatorial Pacific changes during the transition from a nonhiatus period (pre-1999) to the present global warming hiatus period (post-1999) are identified using a combination of reanalysis and observed data sets. Results show increased surface wind forcing has excited significant changes in wind-driven circulation. Over the last two decades, the core of the Equatorial Undercurrent intensified at a rate of 6.9 cm s?1 decade?1. Similarly, equatorial upwelling associated with the shallow meridional overturning circulation increased at a rate of 2.0 ? 10?4 cm s?1 decade?1 in the central Pacific. Further, a seasonal dependence is identified in the sea surface temperature trends and in subsurface dynamics. Seasonal variations are evident in reversals of equatorial surface flow trends, changes in subsurface circulation, and seasonal deepening/shoaling of the thermocline. Anomalous westward surface flow drives cold-water zonal advection from November to February, leading to surface cooling from December through May. Conversely, eastward surface current anomalies in June?July drive warm-water zonal advection producing surface warming from July to November. An improved dynamical understanding of how the tropical Pacific Ocean responds during transitions into hiatus events, including its seasonal structure, may help to improve future predictability of decadal climate variations.","Dillon J. Amaya, Shang-Ping Xie, Arthur J. Miller, Michael J. McPhaden",2015,JGR,120,10,6782-6798,08-08-15,17-10-15,10.1002/2015JC010906,http://onlinelibrary.wiley.com/doi/10.1002/2015JC010906/full,,,1,,En
63,"Parker, 2015",3,1998,13,2015,,,1,1,1,1,"UAH, RSS",,,The ?Artefacts? of Data Biases in Surface Temperatures are Hiding the Hiatus,"As almost any trend can be built by continuous tampering of past information rather than simply keeping the computational procedure unaltered and updating the data sets with freshly measured data, the latest paper published by NOAA in Science that negates the ?hiatus? in global warming since 1998 also admitted by the IPCC is not a surprise. However, this prompts serious questions about the political bias of high impact factor journals. My contribution shows the information from conflicting data sets of measured lower troposphere temperatures and reconstructed surface air temperatures continuously corrected.",A. Parker,2015,"American Journal of Geophysics, Geochemistry and Geosystems",1,3,66-70,09-06-15,15-07-15,,http://files.aiscience.org/journal/article/pdf/70170008.pdf,1,,,,En
64,"Lean & Rind, 2009",3,2002,3,2008,,,,,1,,,,,How will Earth's surface temperature change in future decades?,"Reliable forecasts of climate change in the immediate future are difficult, especially on regional scales, where natural climate variations may amplify or mitigate anthropogenic warming in ways that numerical models capture poorly. By decomposing recent observed surface temperatures into components associated with ENSO, volcanic and solar activity, and anthropogenic influences, we anticipate global and regional changes in the next two decades. From 2009 to 2014, projected rises in anthropogenic influences and solar irradiance will increase global surface temperature 0.15 Ò 0.03¯C, at a rate 50% greater than predicted by IPCC. But as a result of declining solar activity in the subsequent five years, average temperature in 2019 is only 0.03 Ò 0.01¯C warmer than in 2014. This lack of overall warming is analogous to the period from 2002 to 2008 when decreasing solar irradiance also countered much of the anthropogenic warming. We further illustrate how a major volcanic eruption and a super ENSO would modify our global and regional temperature projections.","Judith L. Lean, David H. Rind",2009,GRL,36,15,L15708,29-04-09,16-08-09,10.1029/2009GL038932,http://onlinelibrary.wiley.com/doi/10.1029/2009GL038932/abstract,,1,,1,En
67,"Dunstone, 2014",3,1998,"10, 14",2014,,,,,,1,"CRUTEM4, HadSST3",,,A perspective on sustained marine observations for climate modelling and prediction,"Here, I examine some of the many varied ways in which sustained global ocean observations are used in numerical modelling activities. In particular, I focus on the use of ocean observations to initialize predictions in ocean and climate models. Examples are also shown of how models can be used to assess the impact of both current ocean observations and to simulate that of potential new ocean observing platforms. The ocean has never been better observed than it is today and similarly ocean models have never been as capable at representing the real ocean as they are now. However, there remain important unanswered questions that can likely only be addressed via future improvements in ocean observations. In particular, ocean observing systems need to respond to the needs of the burgeoning field of near-term climate predictions. Although new ocean observing platforms promise exciting new discoveries, there is a delicate balance to be made between their funding and that of the current ocean observing system. Here, I identify the need to secure long-term funding for ocean observing platforms as they mature, from a mainly research exercise to an operational system for sustained observation over climate change time scales. At the same time, considerable progress continues to be made via ship-based observing campaigns and I highlight some that are dedicated to addressing uncertainties in key ocean model parametrizations. The use of ocean observations to understand the prominent long time scale changes observed in the North Atlantic is another focus of this paper. The exciting first decade of monitoring of the Atlantic meridional overturning circulation by the RAPID-MOCHA array is highlighted. The use of ocean and climate models as tools to further probe the drivers of variability seen in such time series is another exciting development. I also discuss the need for a concerted combined effort from climate models and ocean observations in order to understand the current slow-down in surface global warming.",Nick J. Dunstone,2014,Philosophical Transactions A,372,2025,,,25-08-14,10.1098/rsta.2013.0340,http://rsta.royalsocietypublishing.org/content/372/2025/20130340,1,,,,En
69,Liao et al. 2015,4,1998,7,2013,,,,,,,OISST,,,The coastal ocean response to the global warming acceleration and hiatus,"Coastlines are fundamental to humans for habitation, commerce, and natural resources. Many coastal ecosystem disasters, caused by extreme sea surface temperature (SST), were reported when the global climate shifted from global warming to global surface warming hiatus after 1998. The task of understanding the coastal SST variations within the global context is an urgent matter. Our study on the global coastal SST from 1982 to 2013 revealed a significant cooling trend in the low and mid latitudes (31.4% of the global coastlines) after 1998, while 17.9% of the global coastlines changed from a cooling trend to a warming trend concurrently. The trend reversals in the Northern Pacific and Atlantic coincided with the phase shift of Pacific Decadal Oscillation and North Atlantic Oscillation, respectively. These coastal SST changes are larger than the changes of the global mean and open ocean, resulting in a fast increase of extremely hot/cold days, and thus extremely hot/cold events. Meanwhile, a continuous increase of SST was detected for a considerable portion of coastlines (46.7%) with a strengthened warming along the coastlines in the high northern latitudes. This suggests the warming still continued and strengthened in some regions after 1998, but with a weaker pattern in the low and mid latitudes.","Enhui Liao, Wenfang Lu, Xiao-Hai Yan, Yuwu Jiang, Autumn Kidwell",2015,Scientific Reports,5,,16630,16-06-15,16-11-15,10.1038/srep16630,http://www.nature.com/articles/srep16630,1,,,,En
70,"Duan & Xiao, 2015",4,1998,12,2013,,,,,,1,local,,,Does the climate warming hiatus exist over the Tibetan Plateau?,"The surface air temperature change over the Tibetan Plateau is determined based on historical observations from 1980 to 2013. In contrast to the cooling trend in the rest of China, and the global warming hiatus post-1990s, an accelerated warming trend has appeared over the Tibetan Plateau during 1998?2013 (0.25?¯C decade?1), compared with that during 1980?1997 (0.21?¯C decade?1). Further results indicate that, to some degree, such an accelerated warming trend might be attributable to cloud?radiation feedback. The increased nocturnal cloud over the northern Tibetan Plateau would warm the nighttime temperature via enhanced atmospheric back-radiation, while the decreased daytime cloud over the southern Tibetan Plateau would induce the daytime sunshine duration to increase, resulting in surface air temperature warming. Meanwhile, the in situ surface wind speed has recovered gradually since 1998, and thus the energy concentration cannot explain the accelerated warming trend over the Tibetan Plateau after the 1990s. It is suggested that cloud?radiation feedback may play an important role in modulating the recent accelerated warming trend over the Tibetan Plateau.","Anmin Duan, Zhixiang Xiao",2015,Scientific Reports,5,,13711,19-03-15,02-09-15,10.1038/srep13711,http://www.nature.com/articles/srep13711,1,,,,En
72,Wang et al. 2010a,4,1999,"11,13",2010,,,1,1,1,,,,,Does the Global Warming Pause in the Last Decade: 1999?2008?,"Issues related to the pause of global warming in the last decade are reviewed. It is indicated that: (1) The decade of 1999?2008 is still the warmest of the last 30 years, though the global temperature increment is near zero; (2) Natural factors such as volcanism, solar radiation, ENSO, and thermohaline circulation can have impact on the inter-annual and inter-decadal variability of global mean temperatures. However, it will not mask the global warming trend for a long time; (3) Temperatures of China continue to increase in 1999?2008 with an increment of 0.4?0.5¯C per 10 years.","Shaowu Wang, Xinyu Wen, Yong Luo, Guoli Tang, Zongci Zhao, Jianbin Huang",2010,Advances in Climate Change Research,1,1,49-54,07-06-10,xx.08.2010,10.3724/SP.J.1248.2010.00049,http://www.sciencedirect.com/science/article/pii/S167492781050008X,1,1,,,En
74,Huang et al. 2017,4,1998,"11, 7",2013,,,1,1,,1,"ERSST, COBE (SST)",,,The dynamics of the warming hiatus over the Northern Hemisphere,"A warming hiatus is a period of relatively little change in global mean surface air temperatures (SAT). Many studies have attributed the current warming hiatus to internal climate variability (ICV). But there is less work on discussion of the dynamics about how these ICV modes influence cooling over land in the Northern Hemisphere (NH). Here we demonstrate the warming hiatus was more significant over the continental NH. We explored the dynamics of the warming hiatus from a global perspective and investigated the mechanisms of the reversing from accelerated warming to hiatus, and how ICV modes influence SAT change throughout the NH land. It was found that these ICV modes and Arctic amplification can excite a decadal modulated oscillation (DMO), which enhances or suppresses the long-term trend on decadal to multi-decadal timescales. When the DMO is in an upward (warming) phase, it contributes to an accelerated warming trend, as in last 20 years of twentieth-century. It appears that there is a downward swing in the DMO occurring at present, which has balanced or reduced the radiative forced warming and resulted in the recent global warming hiatus. The DMO modulates the SAT, in particular, the SAT of boreal cold months, through changes in the asymmetric meridional and zonal thermal forcing (MTF and ZTF). The MTF represents the meridional temperature gradients between the mid- and high-latitudes, and the ZTF represents the asymmetry in temperatures between the extratropical large-scale warm and cold zones in the zonal direction. Via the different performance of combined MTF and ZTF, we found that the DMO?s modulation effect on SAT was strongest when both weaker (stronger) MTF and stronger (weaker) ZTF occurred simultaneously. And the current hiatus is a result of a downward DMO combined with a weaker MTF and stronger ZTF, which stimulate both a weaker polar vortex and westerly winds, along with the amplified planetary waves, thereby facilitating southward invasion of cold Arctic-air and promoting the blocking formation. The results conclude that the DMO can not only be used to interpret the current warming hiatus, it also suggests that global warming will accelerate again when it swings upward.","Jianping Huang, Yongkun Xie, Xiaodan Guan, Dongdong Li, Fei Ji",2017,Climate Dynamics,48,1,429-446,28-09-15,09-05-16,10.1007/s00382-016-3085-8,http://rd.springer.com/article/10.1007/s00382-016-3085-8,,1,,,En
75,Ma et al. 2016,4,1998,6,2012,,,,,,,local,,,Does the recent warming hiatus exist over Northern Asia for winter wind chill temperature?,"Wind chill temperature (WCT) describes the joint effect of wind velocity and air temperature on exposed body skin and could support policymakers in designing plans to reduce the risks of notably cold and windy weather. This study examined winter WCT over Northern Asia during 1973?2013 by analysing in situ station data. The winter WCT warming rate over the Tibetan Plateau (TP) slowed during 1999?2013 (?0.04?¯C?decade?1) compared with that of during 1973?1998 (0.67?¯C?decade?1). The winter WCT warming hiatus has also been observed in the remainder of Northern Asia with trends of 1.11?¯C?decade?1 during 1973?1998 but ?1.02?¯C?decade?1 during 1999?2013, except for the Far East (FE) of Russia, where the winter WCT has continued to heat up during both the earlier period of 1973?1998 (0.54?¯C?decade?1) and the recent period of 1999?2013 (0.75?¯C?decade?1). The results indicate that the influence of temperature on winter WCT is greater than that of wind speed over Northern Asia. Atmospheric circulation changes associated with air temperature and wind speed were analysed to identify the causes for the warming hiatus of winter WCT over Northern Asia. The distributions of sea-level pressure and 500-hPa height anomalies during 1999?2013 transported cold air from the high latitudes to middle latitudes, resulting in low air temperature over Northern Asia except for the FE of Russia. Over the TP, the increase in wind speed offset the increase in air temperature during 1999?2013. For the FE, the southerly wind from the Western Pacific drove the temperature up during the 1999?2013 period through warm advection.","Ying Ma, Rui Mao, Sheng-Hui Feng, Dao-Yi Gong, Seong-Joong Kim",2016,International Journal of Climatology,,,,07-04-16,16-10-16,10.1002/joc.4905,http://onlinelibrary.wiley.com/doi/10.1002/joc.4905/full,1,,,,En
80,Yan et al. 2016,4,1998,4,2013,,,,,,,NA,,,The global warming hiatus: Slowdown or redistribution?,"Global mean surface temperatures (GMST) exhibited a smaller rate of warming during 1998?2013, compared to the warming in the latter half of the 20th Century. Although, not a ?true? hiatus in the strict definition of the word, this has been termed the ?global warming hiatus? by IPCC (2013). There have been other periods that have also been defined as the ?hiatus? depending on the analysis. There are a number of uncertainties and knowledge gaps regarding the ?hiatus.? This report reviews these issues and also posits insights from a collective set of diverse information that helps us understand what we do and do not know. One salient insight is that the GMST phenomenon is a surface characteristic that does not represent a slowdown in warming of the climate system but rather is an energy redistribution within the oceans. Improved understanding of the ocean distribution and redistribution of heat will help better monitor Earth's energy budget and its consequences. A review of recent scientific publications on the ?hiatus? shows the difficulty and complexities in pinpointing the oceanic sink of the ?missing heat? from the atmosphere and the upper layer of the oceans, which defines the ?hiatus.? Advances in ?hiatus? research and outlooks (recommendations) are given in this report.","Xiao-Hai Yan, Tim Boyer, Kevin Trenberth, Thomas R. Karl, Shang-Ping Xie, Veronica Nieves, Ka-Kit Tung, Dean Roemmich",2016,Earth's Future,4,11,472-482,05-08-16,22-11-16,10.1002/2016EF000417,http://onlinelibrary.wiley.com/doi/10.1002/2016EF000417/full,1,,,,En
81,Cai et al. 2017,4,2001,"11,13",2016,,,,,,,local,,,Spatiotemporal Temperature Variability over the Tibetan Plateau: Altitudinal Dependence Associated with the Global Warming Hiatus,"The recent slowdown in global warming has initiated a reanalysis of temperature data in some mountainous regions for understanding the consequences/impact that a hiatus has on the climate system. Spatiotemporal temperature variability is analyzed over the Tibetan Plateau due to its sensitivity to climate change with a station network updated to 2014, and its linkages to remote sensing based variability of MODIS daytime and nighttime temperature are investigated. Results indicate the following: i) Almost all stations have experienced a notable warming in the time interval 1961 to 2014, with most obvious warming in winter which depends on the time selected intervals. ii) There is no clear shift from a predominant warming to a near stagnation during the most recent period (2001-present). iii) Uniform altitudinal dependence of temperature change trends could not be confirmed for all regions, time intervals and seasons, but sometimes showing an altitude threshold around 3 km. iv) Most of the meteorological stations are associated with MODIS temperature warming pixels, and thus regional cooling is missing when considering only the locations of meteorological stations. In summarizing, previous studies based on station observations do not provide a complete picture for the temperature change over the Tibetan Plateau. Remote sensing based analyses have the potential to find early signals of regional climate changes and assess the impact of global climate changes in complex regional, seasonal and altitudinal environments.","Danlu Cai,  Qinglong You,  Klaus Fraedrich, Yanning Guan",2017,Journal of Climate,30,3,969-984,27-04-16,24-10-16,10.1175/JCLI-D-16-0343.1,http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-16-0343.1,1,,,,En
83,"Chen & Tung, 2016",4,1998,6,2012,,,,,,,NA,,,Variations in ocean heat uptake during the surface warming hiatus,No abstract.,"Xianyao Chen, Ka-Kit Tung",2016,Nature Communications,7,,12541,,19-08-16,10.1038/ncomms12541,http://www.nature.com/articles/ncomms12541,,,,,En
